trecho_id,decliv_media_pct,decliv_max_pct,frac_plana,frac_ingreme,decliv_media_graus
RO-ARQ-0001,4.17,13.36,0.158,0.035,2.39
RO-ARQ-0002,10.6,25.06,0.016,0.578,6.05
RO-ARQ-0003,12.24,38.74,0.118,0.426,6.98
RO-ARQ-0004,7.18,20.51,0.091,0.303,4.1
RO-ARQ-0005,7.32,24.18,0.059,0.279,4.19
RO-ARQ-0006,6.78,18.24,0.046,0.308,3.88
RO-ARQ-0007,2.55,7.52,0.515,0.0,1.46
RO-ARQ-0008,2.67,6.65,0.368,0.0,1.53
RO-ARQ-0009,4.0,12.53,0.292,0.2,2.29
RO-ARQ-0010,5.96,12.81,0.089,0.25,3.41
RO-ARQ-0011,5.59,13.52,0.071,0.143,3.2
RO-ARQ-0012,6.91,17.05,0.0,0.345,3.95
RO-ARQ-0013,3.04,10.51,0.446,0.077,1.74
RO-ARQ-0014,3.12,9.73,0.273,0.061,1.79
RO-ARQ-0015,3.2,12.74,0.385,0.092,1.83
RO-ARQ-0016,4.22,10.22,0.156,0.047,2.42
RO-ARQ-0017,4.07,10.54,0.179,0.104,2.33
RO-ARQ-0018,4.0,12.15,0.371,0.129,2.29
RO-ARQ-0019,1.21,3.22,0.839,0.0,0.69
RO-ARQ-0020,3.76,8.63,0.27,0.048,2.15
RO-ARQ-0021,6.94,17.4,0.016,0.206,3.97
RO-ARQ-0022,3.6,11.86,0.22,0.037,2.06
RO-ARQ-0023,8.34,13.37,0.143,0.571,4.76
RO-ARQ-0024,4.12,9.46,0.153,0.051,2.36
RO-ARQ-0025,3.06,6.44,0.28,0.0,1.75
RO-ARQ-0026,2.82,7.04,0.364,0.0,1.61
RO-ARQ-0027,2.04,5.97,0.51,0.0,1.17
RO-ARQ-0028,2.4,7.19,0.475,0.0,1.37
RO-ARQ-0029,2.15,5.79,0.464,0.0,1.23
RO-ARQ-0030,2.8,4.54,0.1,0.0,1.6
RO-ARQ-0031,2.76,4.88,0.294,0.0,1.58
RO-ARQ-0032,2.29,7.9,0.516,0.0,1.31
RO-ARQ-0033,2.64,6.27,0.356,0.0,1.51
RO-ARQ-0034,3.05,6.14,0.25,0.0,1.75
RO-ARQ-0035,3.14,6.06,0.265,0.0,1.8
RO-ARQ-0036,3.32,9.64,0.231,0.058,1.9
RO-ARQ-0037,3.58,6.72,0.177,0.0,2.05
RO-ARQ-0038,2.7,5.72,0.261,0.0,1.54
RO-ARQ-0039,2.07,4.2,0.5,0.0,1.19
RO-ARQ-0040,2.57,5.12,0.312,0.0,1.47
RO-ARQ-0041,2.77,4.21,0.263,0.0,1.59
RO-ARQ-0042,2.15,4.35,0.467,0.0,1.23
RO-ARQ-0043,2.74,4.58,0.231,0.0,1.57
RO-ARQ-0044,2.22,4.51,0.444,0.0,1.27
RO-ARQ-0045,3.28,5.14,0.0,0.0,1.88
RO-ARQ-0046,3.25,5.99,0.25,0.0,1.86
RO-ARQ-0047,2.67,5.01,0.182,0.0,1.53
RO-ARQ-0048,1.87,4.2,0.632,0.0,1.07
