trecho_id,solo_ordem,solo_subordem,solo_textura,solo_relevo,solo_erosao,solo_dren_idx,solo_risco
RO-ARQ-0001,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0002,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-0003,ARGISSOLO,VERMELHO-AMARELO,argilosa/muito argilosa e média/argilosa,"forte 
ondulado",,1.03,1
RO-ARQ-0004,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-0005,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-0006,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-0007,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-0008,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-0009,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-0010,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-0011,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-0012,ARGISSOLO,VERMELHO-AMARELO,média/argilosa,"suave 
ondulado e plano",,1.03,1
RO-ARQ-0013,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0014,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0015,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0016,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0017,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0018,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0019,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0020,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0021,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0022,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0023,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0024,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0025,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0026,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0027,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0028,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0029,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0030,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0031,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0032,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0033,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0034,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0035,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0036,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0037,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0038,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0039,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0040,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0041,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0042,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0043,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0044,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0045,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0046,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0047,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0048,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0049,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0050,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0051,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0052,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0053,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
RO-ARQ-0054,LATOSSOLO,VERMELHO-AMARELO,argilosa,"ondulado e suave 
ondulado",,0.54,0
